OBJECTID,Beat,Section,Section_Num,Supervisor_Name,Note,Color_Code,ID,Office_Address,Office_Phone,Email_Contact,Office_Hours,ShapeSTArea,ShapeSTLength
152,209,Central,9,Capt. Gabriel Person,In case of emergency call 911.,1,209,"30 N Clinton Ave, Rochester NY 14604",(585) 428-9809,,9:30am - 5:00pm,23291389.8716952,31183.6884235275
153,219,Central,9,Capt. Gabriel Person,In case of emergency call 911.,2,219,"30 N Clinton Ave, Rochester NY 14604",(585) 428-9809,,9:30am - 5:00pm,15925728.0140002,18122.3282282611
154,229,Central,9,Capt. Gabriel Person,In case of emergency call 911.,3,229,"30 N Clinton Ave, Rochester NY 14604",(585) 428-9809,,9:30am - 5:00pm,16820394.2799226,29216.0964532706
155,265,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,4,265,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,31543104.1674113,50157.8206772466
156,245,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,1,245,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,27551602.8980715,33437.0037988941
157,255,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,2,255,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,44055973.9021003,39199.2606613594
158,225,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,3,225,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,20150113.6504631,30403.7781986457
159,235,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,4,235,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,52114658.398949,35255.1883981801
160,215,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,1,215,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,14284515.9604975,25724.5607876583
161,205,Goodman,5,Capt. Jason Elwood,In case of emergency call 911.,3,205,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9805,,8:00am - 4:00pm,69683548.4604858,115641.408370444
162,287,Clinton,7,Capt. Samuel Lucyshyn,In case of emergency call 911.,3,287,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9807,,8:00am - 4:00pm,19278371.2331001,18632.288009869
163,297,Clinton,7,Capt. Samuel Lucyshyn,In case of emergency call 911.,4,297,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9807,,8:00am - 4:00pm,12302076.9559751,21721.1034657968
164,277,Clinton,7,Capt. Samuel Lucyshyn,In case of emergency call 911.,1,277,"630 N Clinton Ave, Rochester, NY 14605",(585) 428-9807,,8:00am - 4:00pm,16192752.4497042,22813.7473479788
