Complaint_Type,Event_Year,Complaint_Year,Review_Year,Event_Date,Complaint_Date,Review_Completion_Date,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,CRB_Finding,CRB_Individual_Sustained,CRB_Split,RPD_Finding,RPD_Individual_Sustained,CRB_RPD,Concurrence,RPD_Action_Sustained,RPD_Allegation_Sustained,RPD_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,FID
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.A.02,13-0078.03.A,2,13-0078.03,Force,2,13-0078,4,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,1
Citizen,2012,2012,2013,2012/07/04 00:00:00+00,2012/07/11 00:00:00+00,2013/04/01 00:00:00+00,201,12-0948.01.A.01,12-0948.01.A,1,12-0948.01,Force,1,12-0948,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,1,0,0,1,2
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.B.01,13-0078.03.B,1,13-0078.03,Force,3,13-0078,5,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,3
Citizen,2012,2012,2013,2012/07/04 00:00:00+00,2012/07/11 00:00:00+00,2013/04/01 00:00:00+00,201,12-0948.02.A.01,12-0948.02.A,1,12-0948.02,Satellite,1,12-0948,2,Sustained,1,0,Sustained,1,Sustained-Sustained,1,1,1,1,1,1,1,4
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.03.B.02,13-0078.03.B,2,13-0078.03,Force,4,13-0078,6,Exonerated,0,0,Unprovable,0,Exonerated-Unprovable,0,0,0,0,0,0,0,5
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.01.A.01,12-0842.01.A,1,12-0842.01,Force,1,12-0842,1,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,6
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.01.B.01,12-0842.01.B,1,12-0842.01,Force,2,12-0842,2,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,7
Citizen,2013,2013,2013,2013/01/09 00:00:00+00,2013/01/22 00:00:00+00,2013/11/01 00:00:00+00,217,13-0078.04.A.01,13-0078.04.A,1,13-0078.04,Force,1,13-0078,7,Unfounded,0,0,Unfounded,0,Unfounded-Unfounded,1,0,0,0,0,0,0,8
Citizen,2012,2012,2013,2012/07/05 00:00:00+00,2012/07/12 00:00:00+00,2013/06/09 00:00:00+00,219,12-0842.02.A.01,12-0842.02.A,1,12-0842.02,Procedure,1,12-0842,3,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,0,0,0,0,0,0,9
Internal,2013,2013,2013,2013/01/29 00:00:00+00,2013/01/29 00:00:00+00,2013/10/10 00:00:00+00,209,13-0115.01.A.01,13-0115.01.A,1,13-0115.01,Force,1,13-0115,1,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,10
