X,Y,OBJECTID,FACILITYID,NAME,OWNER,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,MUNICIPALITY,STATE,CAPTUREMETH,LOCATIONTYPE,DESCRIPT,FACAREA,AGENCYURL,OPERDAYS,OPERHOURS,CONTACT,PHONE,EMAIL,Date_Created,Date_Edited
-77.6469003110306,43.1394556662569,37,,Aberdeen Square,,,,,330 Post Ave,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589935101,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.6167304074848,43.1478481975367,38,,Adams Street Recreation Center,,,,,85 Adams St,,,,,,,http://www.cityofrochester.gov/adamsstreet/,,,,585-428-7266,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.5948438071901,43.1593863283347,39,,Anderson Park,,,,,University Ave. at Union and E. Main,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:08:25+00
-77.6187437170894,43.1812481120176,40,,Avenue D Community Center,,,,,200 Avenue D,,,,,,,http://www.cityofrochester.gov/avenued/,,,,585-428-7934,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.5918749874655,43.1372446238051,41,,Otto Henderberg Park,,,,,Avon Place,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:08:52+00
-77.6039490806043,43.170252789189,42,,Baden Park,,,,,485 N Clinton Avenue,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589937474,,,,585-325-4910,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.5816139380135,43.1492594987924,43,,Barrington St Park,,,,,Barrington St and Park Ave,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:17:15+00
-77.6284606542789,43.1320215660469,44,,Bausch & Lomb Riverfront Park,,,,,,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.6205792456078,43.2231279149883,46,,Brewster Harding Playground,,,,,Harding Rd and Brewster,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:10:45+00
-77.6207431243668,43.1462197533922,47,,Bronson Ave Playground,,,,,Bronson Ave and Olean St,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:16:15+00
-77.6234157722372,43.1606134655886,48,,Brown Square,,,,,251 Verona St,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589935111,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.5445529384473,43.1575492223266,49,,Browncroft Rose Garden Park,,,,,37 Merchants Rd,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589935121,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.6425757529809,43.1582317131746,50,,Campbell St Community Center,,,,,524 Campbell St,,,,,,,http://www.cityofrochester.gov/campbellstreet/,,,,585-428-7860,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.5909840635195,43.1863421206629,51,,Carter St Community Center,,,,,500 Carter St,,,,,,,http://www.cityofrochester.gov/carterstreet/,,,,585-428-7890,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.6122133287916,43.1578570345384,52,,Charles Carroll Park,,,,,Andrews St to Main St along river (West),,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:20:04+00
-77.6161204064911,43.2533717152758,53,,Charlotte Village Green,,,,,Latta Road and Spanish Trail,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:20:14+00
-77.6112798058365,43.1657940343321,54,,Clinton/Baden Community Center,,,,,485 North Clinton Ave,,,,,,,http://www.cityofrochester.gov/DRYS/,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/27 13:20:29+00
-77.5738569621789,43.1415964476079,55,,Cobbs Hill Park,,,,,Culver Rd and Norris Dr,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589935129,,,,585-428-6770,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
-77.6071290942522,43.1551379873288,56,,Cornerstone Park,,,,,67 Stone St,,,,,,,http://www.cityofrochester.gov/article.aspx?id=8589959802,,,,585-428-6755,info@cityofrochester.gov,2014/05/01 15:10:51+00,2014/05/01 19:40:42+00
