X,Y,FID,User_fld,USER_Name,USER_Type,USER_Phone,USER_Addre,USER_Websi
-77.6253297915612,43.1452497460836,1,MONR013748,02 - Clara Barton School,Elementary,235-2820,"190 Reynolds Street, Rochester, NY 14608",https://www.rcsdk12.org/profile/2
-77.6303817794382,43.1469631454444,2,MONR014301,04 - George Mather Forbes School,Elementary,235-7848,"198 Dr. Samuel McCree Way, Rochester, NY 14611",https://www.rcsdk12.org/profile/4
-77.6241211960725,43.1625442602272,3,MONR277446,05 - John Williams School,Elementary,325-2255,"555 N. Plymouth Ave.,Rochester, NY 14608",https://www.rcsdk12.org/profile/5
-77.6379305243554,43.183939833494,4,MONR017165,07 - Virgil I. Grissom School,Elementary,254-3110,"31 Bryan St., Rochester, NY 14613",https://www.rcsdk12.org/profile/7
-77.6243233786989,43.1769439030006,5,MONR013774,08 - Roberto Clemente School,Elementary,262-8888,"1180 St. Paul St., Rochester, NY 14621",https://www.rcsdk12.org/profile/8
-77.6112224989918,43.1669878615536,6,MONR014661,"09 - Dr. Martin Luther King, Jr. School",Elementary,325-7828,"485 Clinton Ave. N., Rochester, NY 14605",https://www.rcsdk12.org/profile/9
-77.6469461257324,43.1280715796423,7,MONR014361,10 - Dr. Walter Cooper Academy School,Elementary,324-2010,"353 Congress Avenue, Rochester, NY 14619",https://www.rcsdk12.org/profile/10
-77.6359562646387,43.1981529473451,8,MONR015435,106 - RISE Community School,Elementary,585-254-4472,"279 Ridge Rd., Rochester, NY 14615",https://www.rcsdk12.org/profile/rise
-77.608786765233,43.1358293140442,9,MONR286926,12 - Anna Murray-Douglass Academy School,Elementary,461-3280,"999 South Ave., Rochester, NY 14620",https://www.rcsdk12.org/profile/12
-77.5644548250263,43.1430905231054,10,MONR013319,15 - The Children's School of Rochester,Elementary,262-8830,"85 Hillside Ave. Rochester, NY 14610",https://www.rcsdk12.org/profile/15
-77.6489928638496,43.1396307475913,11,MONR014359,16 - John Walton Spencer School,Elementary,235-1272,"321 Post Ave. Rochester, NY 14619",https://www.rcsdk12.org/profile/16
-77.6340435971003,43.1585652897387,12,MONR374227,17 - Enrico Fermi School,Elementary,436-2560,"158 Orchard St., Rochester, NY 14611",https://www.rcsdk12.org/profile/17
-77.6265583372772,43.1386706096139,13,MONR015538,19 - Dr. Charles T. Lunsford School,Elementary,328-7454,"465 Seward St., Rochester, NY 14608",https://www.rcsdk12.org/profile/19
-77.5815149022232,43.1475968308158,14,MONR015256,23 - Francis Parker School,Elementary,473-5099,"170 Barrington St., Rochester, NY 14607",https://www.rcsdk12.org/profile/23
-77.5943247865666,43.1683596929841,15,MONR287027,25 - Nathaniel Hawthorne School,Elementary,288-3654,"625 Scio Street Rochester, NY 14605",https://www.rcsdk12.org/profile/25
-77.6020934729559,43.1703168736389,16,10648000010120010000,22 - Abraham Lincoln School,Elementary,467-7160,"595 Upper Falls Blvd. Rochester, NY 14605",https://www.rcsdk12.org/profile/22
-77.5560339962149,43.1547059601821,17,MONR014596,28 - Henry Hudson School,Elementary,482-4836,"450 Humboldt Street, Rochester, NY 14610",https://www.rcsdk12.org/profile/28
-77.6385844718476,43.146945791755,18,MONR012434,29 - Adlai E. Stevenson School,Elementary,328-8228,"88 Kirkland Rd., Rochester, NY 14611",https://www.rcsdk12.org/profile/29
-77.5719194098251,43.1696924831394,19,MONR275583,33 - John James Audubon School,Elementary,482-9290,"500 Webster Ave., Rochester, NY 14609",https://www.rcsdk12.org/profile/33
-77.6440946653956,43.1800517030331,20,MONR012146,34 - Dr. Louis A. Cerulli School,Elementary,458-3210,"530 Lexington Ave., Rochester, NY 14613",https://www.rcsdk12.org/profile/34
-77.587931637703,43.1386873908534,21,MONR273438,35 - Pinnacle School,Elementary,271-4583,"194 Field St., Rochester, NY 14620",https://www.rcsdk12.org/profile/35
-77.579604515195,43.1852039939564,22,MONR016312,39 - Andrew J. Townson School,Elementary,467-8816,"145 Midland Ave., Rochester, NY 14621",https://www.rcsdk12.org/profile/39
-77.6251990103225,43.230998931732,23,MONR012630,42 - Abelard Reynolds School,Elementary,663-4330,"3330 Lake Ave., Rochester, NY 14612",https://www.rcsdk12.org/profile/42
-77.5826049775461,43.1752328466434,24,MONR015392,45 - Mary McLeod Bethune School,Elementary,325-6945,"1445 Clifford Ave., Rochester, NY 14621",https://www.rcsdk12.org/profile/45
-77.5414242839421,43.1536378790684,25,MONR015125,46 - Charles Carroll School,Elementary,288-8008,"250 Newcastle Rd., Rochester, NY 14610",https://www.rcsdk12.org/profile/46
-77.6094312992103,43.1930133670243,26,MONR285001,50 - Helen Barrett Montgomery School,Elementary,266-0331,"301 Seneca Ave., Rochester, NY 14621",https://www.rcsdk12.org/profile/50
-77.5524793566441,43.1660007888401,27,MONR013221,52 - Frank Fowler Dow School,Elementary,482-9614,"100 Farmington Rd., Rochester, NY 14609",https://www.rcsdk12.org/profile/52
-77.5943247865666,43.1683596929841,28,MONR287027,53 - Montessori Academy School,Elementary,325-0935,"625 Scio St., Rochester, NY 14605",https://www.rcsdk12.org/profile/53
