OBJECTID,LABEL,CATEGORY,ZONE_LABEL,DESCRIPTION,BLURB1,LINKTEXT1,HREF1,BLURB2,LINKTEXT2,HREF2,Shape__Area,Shape__Length
1,PD #9,R-1 Low Density Residential,PD #9,PD Planned Development District #9 Canalside Business Park,PD #9 Zoning Code is,available online,https://ecode360.com/33553660, , , ,179957.364036145,4281.43362092219
2,R-1,R-1 Low Density Residential,R-1,R-1 Low Density Residential,R-1 Zoning Code is,available online,http://ecode360.com/8679530, , , ,39064.19308095,804.408857863164
3,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,15969.78592326,600.143261381519
4,PD #7,Planned Development District,PD #7,PD Planned Development District #7 Rochester Science Park,PD #7 Zoning Code is,available online,https://ecode360.com/33553461, , , ,417027.460728375,3373.0297527564
5,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,40099.148788305,844.454022790365
6,C-V,Village Center,C-V,C-V Collegetown Village,C-V Zoning Code is,available online,http://ecode360.com/12772440, , , ,197592.15096348,2508.31558712774
7,PD #8,Planned Development District,PD #8,PD Planned Development District #8 Midtown Athletic Club,PD #8 Zoning Code is,available online,https://ecode360.com/33553560, , , ,109271.427049315,1948.94041932334
8,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,73099.567292935,1167.64509333968
9,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,17997.03018514,909.782377758316
10,M-1,Industrial,M-1,M-1 Industrial District,M-1 Zoning Code is,available online,http://ecode360.com/8681474, , , ,33102.203604505,796.903833938614
11,IPD #9,Planned Development District,IPD #9,Institutional Planned Development #9 Al Sigl Center,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,181123.672741875,2213.11640609472
12,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,34207.62202013,792.521383854263
13,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,5849.14735546,277.662871025826
14,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,27004.30404778,714.466994238161
15,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,57957.471900095,1167.50513888541
16,C-1,C-1 Neighborhood Center,C-1,C-1 Neighborhood Center,C-1 Zoning Code is,available online,http://ecode360.com/8679793, , , ,11512.93109714,483.339545319213
17,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,39484.379677285,904.668108868836
18,CCD-T,CCD Center City District,CCD-T,CCD-T Center City Tower District,CCD-T Zoning Code is,available online,http://ecode360.com/8680942, , , ,277262.81563004,2871.54691356673
19,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,176022.01141911,2338.78580319521
20,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,35492.7404299,845.1326476721
21,PD #14,Planned Development District,PD #14,PD Planned Development District #14 George Eastman House,PD #14 Zoning Code is,available online,https://ecode360.com/33554266, , , ,124755.660267525,1596.07701374424
22,O-S,Open Space,O-S,Open Space District,O-S Zoning Code is,available online,http://ecode360.com/8681579, , , ,6771.10952325,483.028506782642
23,R-3,R-3 High-Density Residential,R-3,R-3 High Density Residential,R-3 Zoning Code is,available online,http://ecode360.com/8679692, , , ,1291975.31824187,13099.8456787577
24,MIPD #3,Planned Development District,MIPD #3,Manufacturing-Industrial Planned Development #3,IPD Zoning Code is not available online.  Please contact the,Bureau of Planning and Zoning,http://www.cityofrochester.gov/planningandzoning/, , , ,170744.911220825,1707.80492141725
